===============================================================
Gobuster v3.8
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:            https://www.silabs.com/wireless/wi-fi/siwx917y-wireless-modules
[+] Method:         GET
[+] Threads:        100
[+] Wordlist:       /home/yaniv/wl/yaniv_wordlist/dir-all.txt
[+] Status codes:   500,200,301,302,403,401
[+] User Agent:     gobuster/3.8
[+] Timeout:        10s
===============================================================
Starting gobuster in directory enumeration mode
===============================================================
/ABERGMAN             (Status: 403) [Size: 439]
/abandon              (Status: 403) [Size: 438]
/abeseeicon           (Status: 403) [Size: 441]
/abercrombiebrunettesread (Status: 403) [Size: 455]
/ABetterFinderRename  (Status: 403) [Size: 450]
/abfall               (Status: 403) [Size: 437]
/abet                 (Status: 403) [Size: 435]
/abeyant              (Status: 403) [Size: 438]
/abastore             (Status: 403) [Size: 439]
/abfas                (Status: 403) [Size: 436]
/ABF                  (Status: 403) [Size: 434]
/abfaq                (Status: 403) [Size: 436]
/abfc                 (Status: 403) [Size: 435]
/abffe                (Status: 403) [Size: 436]
/abFICTION            (Status: 403) [Size: 440]
/abfab                (Status: 403) [Size: 436]
/ABFRX                (Status: 403) [Size: 436]
/ABGamm               (Status: 403) [Size: 437]
/abgb                 (Status: 403) [Size: 435]
/abg                  (Status: 403) [Size: 434]
/abge                 (Status: 403) [Size: 435]
/abgedta              (Status: 403) [Size: 438]
/abaumhau             (Status: 403) [Size: 439]
/abgfuelcellfuture    (Status: 403) [Size: 448]
/abergstr             (Status: 403) [Size: 439]
/abghondafcx          (Status: 403) [Size: 442]
/abgn                 (Status: 403) [Size: 435]
/abgrover             (Status: 403) [Size: 439]
/abgraphics           (Status: 403) [Size: 441]
/Aberneth             (Status: 403) [Size: 439]
/abgsqb               (Status: 403) [Size: 437]
/abavlockyerplrec     (Status: 403) [Size: 447]
/ABH                  (Status: 403) [Size: 434]
/abh                  (Status: 403) [Size: 434]
/ABHIDHAR             (Status: 403) [Size: 439]
/abhinaba             (Status: 403) [Size: 439]
/AbbaFloor            (Status: 403) [Size: 440]
/abavlockyer          (Status: 403) [Size: 442]
/abbdeds              (Status: 403) [Size: 438]
/abhaz                (Status: 403) [Size: 436]
/abhist               (Status: 403) [Size: 437]
/ABB                  (Status: 403) [Size: 434]
/abhay                (Status: 403) [Size: 436]
/abhisheksinghcs      (Status: 403) [Size: 446]
/abhorrence           (Status: 403) [Size: 441]
/abi                  (Status: 403) [Size: 434]
/abbot                (Status: 403) [Size: 436]
/abhp                 (Status: 403) [Size: 435]
/abhs                 (Status: 403) [Size: 435]
/aberrate             (Status: 403) [Size: 439]
/ABET                 (Status: 403) [Size: 435]
/ABIAMarketplace      (Status: 403) [Size: 446]
/aberto               (Status: 403) [Size: 437]
/ABfrag               (Status: 403) [Size: 437]
/Aberration           (Status: 403) [Size: 441]
/abia                 (Status: 403) [Size: 435]
/ABIA                 (Status: 403) [Size: 435]
/ABIAservices         (Status: 403) [Size: 443]
/ABG                  (Status: 403) [Size: 434]
/abid                 (Status: 403) [Size: 435]
/abiglife             (Status: 403) [Size: 439]
/ABIAConfGraphic      (Status: 403) [Size: 446]
/abandonedly          (Status: 403) [Size: 442]
/ABIGAIL              (Status: 403) [Size: 438]
/abcirc               (Status: 403) [Size: 437]
/abiator              (Status: 403) [Size: 438]
